PersonID;Year;PartyListID;Listenplatz;PreviouslyElected
1463;2021;244.0;1;False
1464;2021;71.0;29;False
1465;2021;338.0;3;False
1466;2021;338.0;2;False
1468;2021;47.0;8;False
1470;2021;11.0;58;False
1471;2021;127.0;32;False
1478;2021;3.0;26;False
1479;2021;1.0;72;False
1480;2021;122.0;27;False
1481;2021;128.0;6;False
1482;2021;69.0;14;False
1483;2021;38.0;10;False
1484;2021;291.0;2;False
1485;2021;171.0;8;False
1486;2021;9.0;56;False
1489;2021;281.0;2;False
1490;2021;74.0;7;False
1495;2021;23.0;54;False
1496;2021;28.0;18;False
1497;2021;3.0;68;False
1498;2021;169.0;5;False
1499;2021;253.0;2;False
1502;2021;100.0;16;False
1503;2021;262.0;2;False
1504;2021;314.0;11;False
1506;2021;264.0;13;False
1508;2021;117.0;14;False
1509;2021;185.0;10;False
1512;2021;133.0;5;False
1513;2021;182.0;20;False
1514;2021;282.0;2;False
1515;2021;82.0;11;False
1516;2021;206.0;10;False
1517;2021;30.0;33;False
1518;2021;64.0;7;False
1520;2021;30.0;37;False
1521;2021;62.0;8;False
1522;2021;55.0;23;False
1527;2021;119.0;4;False
1529;2021;320.0;4;False
1530;2021;119.0;24;False
1532;2021;226.0;4;False
1533;2021;3.0;45;False
1537;2021;343.0;3;False
1541;2021;98.0;23;False
1546;2021;129.0;12;False
1547;2021;209.0;4;False
1549;2021;51.0;12;False
1550;2021;64.0;11;False
1551;2021;146.0;3;False
1553;2021;53.0;10;False
1557;2021;320.0;6;False
1558;2021;320.0;5;False
1560;2021;14.0;27;False
1561;2021;161.0;14;False
1562;2021;282.0;4;False
1563;2021;126.0;12;False
1564;2021;123.0;6;False
1568;2021;185.0;1;False
1569;2021;144.0;21;False
1570;2021;119.0;36;False
1572;2021;230.0;3;False
1575;2021;5.0;59;False
1577;2021;203.0;27;False
1578;2021;5.0;38;False
1579;2021;130.0;11;False
1583;2021;35.0;21;False
1591;2021;149.0;8;False
1592;2021;163.0;4;False
1595;2021;138.0;3;False
1596;2021;143.0;14;False
1597;2021;271.0;4;False
1601;2021;98.0;19;False
1605;2021;3.0;28;False
1608;2021;98.0;21;False
1610;2021;90.0;19;False
1613;2021;3.0;32;False
1615;2021;102.0;25;False
1617;2021;10.0;51;False
1618;2021;3.0;80;False
1619;2021;4.0;39;False
1621;2021;3.0;42;False
1622;2021;78.0;24;False
1627;2021;68.0;8;False
1631;2021;71.0;88;False
1632;2021;4.0;56;False
1633;2021;9.0;48;False
1636;2021;28.0;16;False
1639;2021;60.0;10;False
1644;2021;223.0;7;False
1647;2021;192.0;2;False
1649;2021;127.0;24;False
1654;2021;99.0;4;False
1657;2021;287.0;5;False
1662;2021;14.0;41;False
1665;2021;30.0;24;False
1667;2021;256.0;2;False
1670;2021;204.0;8;False
1671;2021;197.0;7;False
1672;2021;71.0;43;False
1673;2021;170.0;2;False
1676;2021;64.0;8;False
1677;2021;287.0;9;False
1681;2021;323.0;2;False
1683;2021;124.0;20;False
1685;2021;51.0;10;False
1688;2021;5.0;47;False
1690;2021;323.0;6;False
1692;2021;323.0;3;False
1694;2021;231.0;1;False
1697;2021;21.0;32;False
1698;2021;195.0;10;False
1699;2021;260.0;4;False
1703;2021;287.0;7;False
1704;2021;97.0;5;False
1708;2021;127.0;2;False
1712;2021;137.0;7;False
1716;2021;1.0;77;False
1718;2021;127.0;46;False
1722;2021;70.0;41;False
1724;2021;205.0;3;False
1725;2021;120.0;4;False
1729;2021;52.0;5;False
1732;2021;97.0;4;False
1737;2021;242.0;2;False
1739;2021;133.0;22;False
1740;2021;311.0;4;False
1741;2021;328.0;5;False
1742;2021;6.0;71;False
1743;2021;103.0;3;False
1745;2021;4.0;35;False
