PersonID;Year;ConstituencyID;Erststimmen;PreviouslyElected;PartyID
1288;2021;469;1969.0;False;31
1300;2021;72;3705.0;False;29
1303;2021;175;54792.0;True;273
1305;2021;444;29176.0;False;21
1306;2021;110;1567.0;False;31
1310;2021;54;3205.0;False;236
1311;2021;128;2002.0;False;31
1313;2021;65;44188.0;True;21
1318;2021;224;2156.0;False;31
1319;2021;118;2734.0;False;30
1320;2021;415;202.0;False;257
1321;2021;164;731.0;False;287
1322;2021;59;391.0;False;254
1323;2021;483;411.0;False;261
1324;2021;279;484.0;False;293
1325;2021;303;18781.0;True;235
1326;2021;269;33405.0;False;245
1327;2021;243;12942.0;True;4
1328;2021;118;;False;74
1329;2021;130;51312.0;True;22
1333;2021;409;2159.0;False;31
1334;2021;335;3928.0;False;29
1338;2021;41;2428.0;False;30
1341;2021;142;44192.0;True;22
1344;2021;44;4886.0;False;29
1346;2021;57;;False;75
1348;2021;248;2153.0;False;31
1352;2021;108;19184.0;False;4
1353;2021;40;2844.0;False;236
1354;2021;14;70.0;False;257
1356;2021;305;1940.0;False;31
1357;2021;39;16175.0;True;4
1359;2021;450;5398.0;False;245
1361;2021;96;2584.0;False;11
1362;2021;193;2327.0;False;31
1363;2021;355;1732.0;False;31
1365;2021;16;16242.0;True;4
1366;2021;444;8450.0;False;236
1371;2021;321;23735.0;False;21
1373;2021;446;;False;76
1375;2021;271;4111.0;False;295
1378;2021;359;185.0;False;261
1379;2021;444;17505.0;False;273
1380;2021;345;2083.0;False;236
1383;2021;463;3704.0;False;236
1384;2021;171;2012.0;False;31
1385;2021;42;41558.0;True;21
1386;2021;3;50697.0;False;273
1387;2021;53;42582.0;False;21
1390;2021;54;500.0;False;300
1391;2021;438;943.0;False;300
1392;2021;86;19477.0;True;235
1396;2021;466;2247.0;False;31
1399;2021;365;8455.0;False;235
1403;2021;223;4264.0;False;236
1404;2021;221;5083.0;False;281
1405;2021;7;;False;77
1407;2021;88;579.0;False;11
1413;2021;291;4252.0;False;29
1414;2021;351;15886.0;False;245
1417;2021;140;32541.0;False;245
1418;2021;242;979.0;False;268
1419;2021;367;10577.0;False;4
1421;2021;148;3783.0;False;31
1422;2021;20;12447.0;False;4
1425;2021;41;29619.0;True;245
1426;2021;104;2405.0;False;11
1429;2021;239;44876.0;False;273
1430;2021;63;16692.0;False;235
1434;2021;3;8282.0;False;236
1435;2021;132;1748.0;False;31
1436;2021;173;34527.0;False;21
1439;2021;413;47860.0;True;21
1441;2021;229;1416.0;False;31
1442;2021;249;1651.0;False;236
1444;2021;323;28745.0;True;245
1445;2021;52;17764.0;False;235
1446;2021;67;819.0;False;295
1449;2021;489;451.0;False;300
1453;2021;80;1678.0;False;11
1455;2021;128;44890.0;False;22
1456;2021;26;2412.0;False;30
1457;2021;359;14419.0;False;4
1458;2021;450;25727.0;False;273
1459;2021;16;46401.0;True;245
1461;2021;245;2084.0;False;236
1462;2021;275;2919.0;False;295
1467;2021;339;;False;78
1469;2021;333;57560.0;True;273
1472;2021;343;497.0;False;300
1473;2021;218;2417.0;False;31
1474;2021;460;;False;79
1475;2021;173;1430.0;False;31
1476;2021;160;836.0;False;286
1477;2021;237;105.0;False;257
1487;2021;242;9538.0;False;235
1488;2021;71;24567.0;True;273
1491;2021;481;2364.0;False;31
1492;2021;341;;False;80
1493;2021;339;23978.0;False;245
1494;2021;57;5054.0;False;236
1500;2021;50;1547.0;False;295
1501;2021;44;;False;81
1505;2021;419;9404.0;False;4
1507;2021;315;6901.0;False;235
1510;2021;361;21734.0;False;245
1511;2021;225;1866.0;False;31
1519;2021;421;4670.0;False;236
1523;2021;1;;False;82
1524;2021;102;2160.0;False;11
1525;2021;175;14380.0;True;4
1526;2021;42;2958.0;False;29
1528;2021;60;2769.0;False;236
1531;2021;411;39711.0;True;273
1534;2021;124;179.0;False;261
1535;2021;46;23093.0;True;4
1536;2021;2;26163.0;False;4
1538;2021;369;3446.0;False;30
1539;2021;51;496.0;False;267
1540;2021;254;8057.0;False;29
1542;2021;57;17635.0;True;235
1543;2021;92;6975.0;True;29
1544;2021;28;10153.0;False;4
1545;2021;273;;False;83
1548;2021;230;19923.0;False;245
1552;2021;405;13688.0;False;235
1554;2021;228;11999.0;False;4
1555;2021;249;1220.0;False;268
1556;2021;132;1954.0;False;30
1559;2021;223;445.0;False;261
1565;2021;38;1763.0;False;281
1566;2021;465;4972.0;False;236
1567;2021;305;10312.0;True;4
1571;2021;116;;False;84
1573;2021;463;2258.0;False;31
1574;2021;275;23198.0;True;235
1576;2021;152;7761.0;False;236
1580;2021;45;56249.0;False;21
1581;2021;211;;False;85
1582;2021;299;3617.0;False;30
1584;2021;405;17061.0;False;245
1585;2021;489;2852.0;False;31
1586;2021;466;2081.0;False;30
1587;2021;216;10629.0;False;29
1588;2021;80;3898.0;False;29
1589;2021;287;2068.0;False;31
1590;2021;74;15554.0;False;4
1593;2021;38;317.0;False;19
1594;2021;171;57919.0;True;273
1598;2021;325;8481.0;False;235
1599;2021;60;785.0;False;254
1600;2021;427;5783.0;False;29
1602;2021;393;9753.0;False;235
1603;2021;92;2144.0;False;295
1604;2021;212;194.0;False;261
1606;2021;293;37635.0;True;273
1607;2021;375;17826.0;False;235
1609;2021;216;26599.0;False;245
1611;2021;60;561.0;False;267
1612;2021;55;7329.0;False;236
1614;2021;20;2455.0;False;30
1616;2021;401;47153.0;True;21
1620;2021;236;46711.0;True;21
1623;2021;3;4330.0;False;30
1624;2021;446;2527.0;False;31
1625;2021;32;9235.0;False;235
1626;2021;84;2969.0;False;31
1628;2021;426;751.0;False;300
1629;2021;100;10715.0;False;4
1630;2021;122;9306.0;False;236
1634;2021;49;542.0;False;295
1635;2021;237;;False;86
1637;2021;118;90.0;False;257
1638;2021;297;1307.0;False;236
1640;2021;477;40599.0;True;21
1641;2021;114;8613.0;True;245
1642;2021;230;52069.0;True;21
1643;2021;303;163.0;False;261
1645;2021;98;15428.0;False;273
1646;2021;142;31098.0;False;273
