Year;Nachname;Vornamen;Geburtsjahr;Geburtsort;Geschlecht;PersonID
2021;Bierent;Leonie;1995;Witzenhausen;w;446
2021;Bierhalter;Lorenz;2001;Malsch;m;447
2021;Biesel;Michelle;1995;Püttlingen;w;448
2021;Biesterfeld;Jörg;1964;Wuppertal;m;449
2021;Bigus;Joachim Fritz Anton;1958;Osnabrück;m;450
2021;Biletzke;Uwe;1965;Jena;m;451
2021;Bilge;Leyla;1981;Idil, Türkei;w;452
2021;Bilger;Steffen Rudi;1979;Schongau;m;453
2021;Bilić;Florian;1994;Pirmasens;m;454
2021;Billing;Stefan;1962;Berlin-Neukölln;m;455
2021;Bilo;Horst;1957;Koblenz;m;456
2021;Bilski;Bodo;1961;Berlin;m;457
2021;Binde;Ralf Ronald Eberhard;1959;Salzwedel (jetzt Hansestadt Salzwedel);m;458
2021;Binder;Robert;1986;Hermannstadt;m;459
2021;Binder;Simone;1969;München;w;460
2021;Birke;Helmut Gerhard;1954;Letmathe (jetzt Iserlohn);m;461
2021;Birkle;Stephanie;1980;Mannheim-Neckarau;w;462
2021;Birkwald;Matthias Walter;1961;Münster/Westfalen;m;463
2021;Birmann;Rüdiger;1971;Feuchtwangen;m;464
2021;Bischof;Anna-Maria;1989;Fritzlar;w;465
2021;Bischof;Simone;1975;Ochsenhausen;w;466
2021;Biteke;Belange;1996;Kigali, Ruanda;m;467
2021;Bittel;Günther;1953;Stuttgart;m;468
2021;Bitter;Georg Hermann-Josef;1957;Recklinghausen;m;469
2021;Bitter;Ingrid;1938;Heiligenbeil, Mamonowo;w;470
2021;Bittner;Anika;1995;Leimen;w;471
2021;Blach;Björn Wilhelm Rudolf;1976;Osnabrück;m;472
