Year;ShortName;LongName;PartyID
2025;Stimme für VOLKSENTSCHEIDE;Stimme für VOLKSENTSCHEIDE;277
2025;STÖBER;STÖBER;278
2025;Team Orange;Team Orange;279
2021;THP;Thüringer Heimatpartei;280
2021;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;281
2021;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;282
2025;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;282
2025;Tim Knauer;Tim Knauer;283
2021;TNT;Transparent, Nah am Bürger, Treu den Wählern;284
2025;Tradition und Zukunft;Tradition und Zukunft;285
2025;Ulf Michalsky;Ulf Michalsky;286
2021;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie;287
2021;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;288
2025;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!;289
2025;Vereinigte Direktkandidaten;Vereinigte Direktkandidaten;290
2021;Gesundheitsforschung;Partei für Gesundheitsforschung;291
2025;Verjüngungsforschung;Partei für Verjüngungsforschung;291
2025;Versöhnen an Stelle von spalten - Reiner Füllmich;Versöhnen an Stelle von spalten - Reiner Füllmich;292
2025;Volkmar Raidt;Volkmar Raidt;293
2021;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;294
2025;Volksbegehren;Volksbegehren;295
2021;Volt;Volt Deutschland;296
2025;Volt;Volt Deutschland;296
2025;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !;297
2025;WerteUnion;WerteUnion;298
2025;WIR SIND ZUSAMMEN STARK (WSZ);WIR SIND ZUSAMMEN STARK (WSZ);299
2025;Zusammen machen wir Deutschland herzlicher!;Zusammen machen wir Deutschland herzlicher!;300
2021;ÖDP;Ökologisch-Demokratische Partei;301
2025;ÖDP;Ökologisch-Demokratische Partei;301
2021;ÖLDP;RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATISCHE REVOLUTION. FREIHEITEN, DEMOKRATIE, WOHLSTAND, GESUNDHEIT FÜR ALLE! BULTHEEL WÄHLEN!;302
