BridgeID;Year;ConstituencyID;PartyID;VoteType;Votes
13;2021;219;268;2;624.0
13;2021;219;27;1;
13;2021;219;27;2;332.0
13;2021;219;295;1;
13;2021;219;295;2;254.0
14;2021;220;21;1;27672.0
14;2021;220;21;2;23103.0
14;2021;220;4;1;19882.0
14;2021;220;4;2;20658.0
14;2021;220;29;1;29715.0
14;2021;220;29;2;21491.0
14;2021;220;273;1;43932.0
14;2021;220;273;2;47280.0
14;2021;220;235;1;12242.0
14;2021;220;235;2;14852.0
14;2021;220;245;1;16556.0
14;2021;220;245;2;20941.0
14;2021;220;281;1;4476.0
14;2021;220;281;2;3935.0
14;2021;220;262;1;
14;2021;220;262;2;696.0
14;2021;220;30;1;
14;2021;220;30;2;2036.0
14;2021;220;236;1;2131.0
14;2021;220;236;2;1871.0
14;2021;220;261;1;356.0
14;2021;220;261;2;152.0
14;2021;220;300;1;
14;2021;220;300;2;274.0
14;2021;220;31;1;4744.0
14;2021;220;31;2;3488.0
14;2021;220;33;1;
14;2021;220;33;2;147.0
14;2021;220;267;1;
14;2021;220;267;2;290.0
14;2021;220;268;1;1304.0
14;2021;220;268;2;854.0
14;2021;220;27;1;
14;2021;220;27;2;408.0
14;2021;220;295;1;
14;2021;220;295;2;501.0
15;2021;221;21;1;33903.0
15;2021;221;21;2;30910.0
15;2021;221;4;1;33025.0
15;2021;221;4;2;31303.0
15;2021;221;29;1;22767.0
15;2021;221;29;2;18857.0
15;2021;221;273;1;40429.0
15;2021;221;273;2;41583.0
15;2021;221;235;1;11005.0
15;2021;221;235;2;13776.0
15;2021;221;245;1;12199.0
15;2021;221;245;2;14654.0
15;2021;221;281;1;5083.0
15;2021;221;281;2;5169.0
15;2021;221;262;1;
15;2021;221;262;2;758.0
15;2021;221;30;1;1782.0
15;2021;221;30;2;1576.0
15;2021;221;236;1;1835.0
15;2021;221;236;2;1975.0
15;2021;221;261;1;226.0
15;2021;221;261;2;123.0
15;2021;221;300;1;
15;2021;221;300;2;201.0
15;2021;221;31;1;2805.0
15;2021;221;31;2;2904.0
15;2021;221;33;1;
15;2021;221;33;2;152.0
15;2021;221;267;1;
15;2021;221;267;2;295.0
15;2021;221;268;1;1094.0
15;2021;221;268;2;797.0
15;2021;221;27;1;
15;2021;221;27;2;392.0
15;2021;221;295;1;
15;2021;221;295;2;354.0
16;2021;222;21;1;31182.0
16;2021;222;21;2;28684.0
16;2021;222;4;1;36597.0
16;2021;222;4;2;35102.0
16;2021;222;29;1;16202.0
16;2021;222;29;2;15370.0
16;2021;222;273;1;37392.0
16;2021;222;273;2;40339.0
16;2021;222;235;1;11165.0
16;2021;222;235;2;11438.0
16;2021;222;245;1;6112.0
16;2021;222;245;2;6616.0
16;2021;222;281;1;4765.0
16;2021;222;281;2;3803.0
16;2021;222;262;1;
16;2021;222;262;2;2006.0
16;2021;222;30;1;
16;2021;222;30;2;1033.0
16;2021;222;236;1;2468.0
16;2021;222;236;2;2183.0
16;2021;222;261;1;
16;2021;222;261;2;89.0
16;2021;222;300;1;
16;2021;222;300;2;123.0
16;2021;222;31;1;3257.0
16;2021;222;31;2;2822.0
16;2021;222;33;1;
16;2021;222;33;2;140.0
16;2021;222;267;1;
16;2021;222;267;2;220.0
16;2021;222;268;1;
16;2021;222;268;2;518.0
16;2021;222;27;1;
16;2021;222;27;2;348.0
16;2021;222;295;1;
16;2021;222;295;2;204.0
16;2021;222;286;1;1019.0
16;2021;222;286;2;
17;2021;223;21;1;29950.0
17;2021;223;21;2;26402.0
17;2021;223;4;1;30320.0
17;2021;223;4;2;29421.0
17;2021;223;29;1;14494.0
17;2021;223;29;2;14434.0
17;2021;223;273;1;43730.0
17;2021;223;273;2;42049.0
17;2021;223;235;1;9825.0
17;2021;223;235;2;10609.0
17;2021;223;245;1;7573.0
17;2021;223;245;2;7179.0
17;2021;223;281;1;
17;2021;223;281;2;2468.0
17;2021;223;262;1;
17;2021;223;262;2;939.0
17;2021;223;30;1;
17;2021;223;30;2;984.0
17;2021;223;236;1;4264.0
17;2021;223;236;2;2455.0
17;2021;223;261;1;445.0
17;2021;223;261;2;163.0
17;2021;223;300;1;
17;2021;223;300;2;245.0
17;2021;223;31;1;
17;2021;223;31;2;2305.0
17;2021;223;33;1;
17;2021;223;33;2;85.0
17;2021;223;267;1;
17;2021;223;267;2;140.0
17;2021;223;268;1;
17;2021;223;268;2;443.0
17;2021;223;27;1;
17;2021;223;27;2;267.0
17;2021;223;295;1;
17;2021;223;295;2;210.0
18;2021;212;21;1;23231.0
18;2021;212;21;2;19982.0
18;2021;212;273;1;59229.0
18;2021;212;273;2;51170.0
18;2021;212;245;1;46326.0
18;2021;212;245;2;49791.0
18;2021;212;29;1;16195.0
18;2021;212;29;2;15593.0
18;2021;212;235;1;14424.0
18;2021;212;235;2;18723.0
18;2021;212;4;1;8664.0
18;2021;212;4;2;9100.0
18;2021;212;30;1;4251.0
18;2021;212;30;2;2494.0
18;2021;212;281;1;
18;2021;212;281;2;2486.0
18;2021;212;236;1;1340.0
18;2021;212;236;2;974.0
18;2021;212;300;1;704.0
18;2021;212;300;2;370.0
18;2021;212;287;1;
18;2021;212;287;2;303.0
18;2021;212;262;1;136.0
18;2021;212;262;2;130.0
18;2021;212;261;1;194.0
18;2021;212;261;2;70.0
18;2021;212;33;1;
18;2021;212;33;2;112.0
18;2021;212;31;1;2940.0
18;2021;212;31;2;2396.0
18;2021;212;17;1;
18;2021;212;17;2;77.0
18;2021;212;34;1;
18;2021;212;34;2;398.0
18;2021;212;257;1;
18;2021;212;257;2;50.0
18;2021;212;267;1;
18;2021;212;267;2;275.0
18;2021;212;268;1;
18;2021;212;268;2;905.0
18;2021;212;27;1;
18;2021;212;27;2;2019.0
18;2021;212;295;1;
18;2021;212;295;2;1137.0
18;2021;212;26;1;
18;2021;212;26;2;
19;2021;213;21;1;25441.0
19;2021;213;21;2;22478.0
19;2021;213;273;1;43427.0
19;2021;213;273;2;38865.0
19;2021;213;245;1;45063.0
19;2021;213;245;2;46162.0
19;2021;213;29;1;14716.0
19;2021;213;29;2;13667.0
19;2021;213;235;1;12380.0
19;2021;213;235;2;16543.0
19;2021;213;4;1;5191.0
19;2021;213;4;2;5036.0
19;2021;213;30;1;
19;2021;213;30;2;1593.0
19;2021;213;281;1;
19;2021;213;281;2;1405.0
19;2021;213;236;1;756.0
19;2021;213;236;2;524.0
19;2021;213;300;1;571.0
19;2021;213;300;2;246.0
19;2021;213;287;1;
19;2021;213;287;2;160.0
19;2021;213;262;1;
19;2021;213;262;2;56.0
19;2021;213;261;1;209.0
19;2021;213;261;2;84.0
19;2021;213;33;1;
19;2021;213;33;2;92.0
19;2021;213;31;1;2619.0
19;2021;213;31;2;2237.0
19;2021;213;17;1;
19;2021;213;17;2;55.0
19;2021;213;34;1;
19;2021;213;34;2;228.0
19;2021;213;257;1;
19;2021;213;257;2;24.0
19;2021;213;267;1;
19;2021;213;267;2;129.0
19;2021;213;268;1;1351.0
19;2021;213;268;2;571.0
19;2021;213;27;1;
19;2021;213;27;2;1054.0
19;2021;213;295;1;
19;2021;213;295;2;886.0
19;2021;213;26;1;
19;2021;213;26;2;
20;2021;214;21;1;27462.0
20;2021;214;21;2;23843.0
20;2021;214;273;1;47375.0
20;2021;214;273;2;44911.0
20;2021;214;245;1;47734.0
20;2021;214;245;2;47983.0
20;2021;214;29;1;11351.0
20;2021;214;29;2;10847.0
20;2021;214;235;1;12957.0
20;2021;214;235;2;18190.0
20;2021;214;4;1;5450.0
20;2021;214;4;2;5662.0
20;2021;214;30;1;2334.0
20;2021;214;30;2;1358.0
20;2021;214;281;1;
20;2021;214;281;2;1682.0
20;2021;214;236;1;998.0
20;2021;214;236;2;761.0
20;2021;214;300;1;450.0
20;2021;214;300;2;235.0
20;2021;214;287;1;
20;2021;214;287;2;139.0
20;2021;214;262;1;
20;2021;214;262;2;53.0
20;2021;214;261;1;137.0
20;2021;214;261;2;47.0
20;2021;214;33;1;
20;2021;214;33;2;100.0
20;2021;214;31;1;2400.0
20;2021;214;31;2;1895.0
20;2021;214;17;1;
20;2021;214;17;2;42.0
20;2021;214;34;1;
20;2021;214;34;2;188.0
20;2021;214;257;1;
20;2021;214;257;2;24.0
20;2021;214;267;1;
20;2021;214;267;2;149.0
20;2021;214;268;1;
20;2021;214;268;2;500.0
20;2021;214;27;1;
20;2021;214;27;2;850.0
20;2021;214;295;1;1391.0
20;2021;214;295;2;906.0
20;2021;214;26;1;
20;2021;214;26;2;
21;2021;215;21;1;43870.0
21;2021;215;21;2;34387.0
21;2021;215;273;1;56594.0
21;2021;215;273;2;51575.0
21;2021;215;245;1;47375.0
21;2021;215;245;2;46531.0
21;2021;215;29;1;9095.0
21;2021;215;29;2;8741.0
21;2021;215;235;1;15786.0
21;2021;215;235;2;26247.0
21;2021;215;4;1;6259.0
21;2021;215;4;2;6811.0
21;2021;215;30;1;
21;2021;215;30;2;1443.0
21;2021;215;281;1;
21;2021;215;281;2;1893.0
21;2021;215;236;1;1540.0
21;2021;215;236;2;939.0
21;2021;215;300;1;
21;2021;215;300;2;292.0
21;2021;215;287;1;
21;2021;215;287;2;220.0
21;2021;215;262;1;93.0
21;2021;215;262;2;79.0
21;2021;215;261;1;174.0
21;2021;215;261;2;48.0
21;2021;215;33;1;
21;2021;215;33;2;72.0
21;2021;215;31;1;3258.0
21;2021;215;31;2;2535.0
21;2021;215;17;1;
21;2021;215;17;2;53.0
21;2021;215;34;1;
21;2021;215;34;2;150.0
21;2021;215;257;1;179.0
21;2021;215;257;2;64.0
21;2021;215;267;1;
21;2021;215;267;2;182.0
21;2021;215;268;1;
21;2021;215;268;2;606.0
21;2021;215;27;1;
21;2021;215;27;2;875.0
21;2021;215;295;1;
21;2021;215;295;2;948.0
21;2021;215;26;1;
21;2021;215;26;2;
22;2021;216;21;1;33085.0
22;2021;216;21;2;29103.0
22;2021;216;273;1;66616.0
22;2021;216;273;2;59298.0
22;2021;216;245;1;26599.0
22;2021;216;245;2;32134.0
22;2021;216;29;1;10629.0
22;2021;216;29;2;8852.0
22;2021;216;235;1;15755.0
22;2021;216;235;2;19225.0
22;2021;216;4;1;11490.0
22;2021;216;4;2;11290.0
22;2021;216;30;1;
22;2021;216;30;2;1615.0
22;2021;216;281;1;
22;2021;216;281;2;2561.0
22;2021;216;236;1;
22;2021;216;236;2;1084.0
22;2021;216;300;1;880.0
22;2021;216;300;2;427.0
22;2021;216;287;1;
22;2021;216;287;2;202.0
22;2021;216;262;1;209.0
22;2021;216;262;2;169.0
22;2021;216;261;1;117.0
22;2021;216;261;2;49.0
22;2021;216;33;1;
22;2021;216;33;2;69.0
22;2021;216;31;1;3054.0
22;2021;216;31;2;2481.0
22;2021;216;17;1;
22;2021;216;17;2;83.0
22;2021;216;34;1;
22;2021;216;34;2;169.0
22;2021;216;257;1;
22;2021;216;257;2;44.0
22;2021;216;267;1;
22;2021;216;267;2;235.0
22;2021;216;268;1;2068.0
22;2021;216;268;2;1048.0
22;2021;216;27;1;
22;2021;216;27;2;1871.0
22;2021;216;295;1;1834.0
22;2021;216;295;2;812.0
22;2021;216;26;1;
22;2021;216;26;2;
23;2021;217;21;1;26483.0
23;2021;217;21;2;25427.0
23;2021;217;273;1;61590.0
23;2021;217;273;2;52523.0
23;2021;217;245;1;24231.0
23;2021;217;245;2;27931.0
23;2021;217;29;1;10521.0
23;2021;217;29;2;9878.0
23;2021;217;235;1;13301.0
23;2021;217;235;2;15674.0
23;2021;217;4;1;12774.0
23;2021;217;4;2;12638.0
23;2021;217;30;1;
23;2021;217;30;2;1644.0
23;2021;217;281;1;
23;2021;217;281;2;2298.0
23;2021;217;236;1;2109.0
23;2021;217;236;2;1319.0
23;2021;217;300;1;1061.0
23;2021;217;300;2;446.0
23;2021;217;287;1;
23;2021;217;287;2;195.0
23;2021;217;262;1;205.0
23;2021;217;262;2;161.0
23;2021;217;261;1;131.0
23;2021;217;261;2;50.0
23;2021;217;33;1;
