Year;StateID;PartyID;NewVoteCount;ShortName;LongName
2021;12;30;17870.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;12;31;23407.0;dieBasis;Basisdemokratische Partei Deutschland
2021;12;33;516.0;DKP;Deutsche Kommunistische Partei
2021;12;34;1029.0;du.;Die Urbane. Eine HipHop Partei
2021;12;235;220039.0;FDP;Freie Demokratische Partei
2021;12;236;17043.0;FREIE WÄHLER;FREIE WÄHLER
2021;12;245;322763.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;12;257;715.0;LKR;Liberal-Konservative Reformer
2021;12;261;322.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;12;262;2034.0;NPD;Nationaldemokratische Partei Deutschlands
2021;12;267;1763.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;12;273;494055.0;SPD;Sozialdemokratische Partei Deutschlands
2021;12;274;55578.0;SSW;Südschleswigscher Wählerverband
2021;12;281;20653.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;12;287;1763.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;12;295;4157.0;Volt;Volt Deutschland
2021;12;300;1539.0;ÖDP;Ökologisch-Demokratische Partei
2021;13;4;57629.0;AfD;Alternative für Deutschland
2021;13;21;135134.0;CDU;Christlich Demokratische Union Deutschlands
2021;13;27;2281.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;13;29;41130.0;Die Linke;Die Linke
2021;13;30;9978.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;13;31;8116.0;dieBasis;Basisdemokratische Partei Deutschland
2021;13;235;65945.0;FDP;Freie Demokratische Partei
2021;13;236;11746.0;FREIE WÄHLER;FREIE WÄHLER
2021;13;261;357.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;13;262;1375.0;NPD;Nationaldemokratische Partei Deutschlands
2021;13;268;3419.0;PIRATEN;Piratenpartei Deutschland
2021;13;273;213777.0;SPD;Sozialdemokratische Partei Deutschlands
2021;13;281;16231.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;13;295;4019.0;Volt;Volt Deutschland
2021;13;300;2531.0;ÖDP;Ökologisch-Demokratische Partei
2021;14;4;607044.0;AfD;Alternative für Deutschland
2021;14;15;7129.0;Bündnis C;Bündnis C - Christen für Deutschland
2021;14;21;422879.0;CDU;Christlich Demokratische Union Deutschlands
2021;14;27;6229.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;14;29;230012.0;Die Linke;Die Linke
2021;14;30;31905.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;14;31;38090.0;dieBasis;Basisdemokratische Partei Deutschland
2021;14;33;1725.0;DKP;Deutsche Kommunistische Partei
2021;14;235;271166.0;FDP;Freie Demokratische Partei
2021;14;236;56654.0;FREIE WÄHLER;FREIE WÄHLER
2021;14;245;212320.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;14;247;4288.0;III. Weg;DER DRITTE WEG
2021;14;261;1562.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;14;262;7469.0;NPD;Nationaldemokratische Partei Deutschlands
2021;14;267;4003.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;14;268;10433.0;PIRATEN;Piratenpartei Deutschland
2021;14;273;474804.0;SPD;Sozialdemokratische Partei Deutschlands
2021;14;281;47939.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;14;287;2464.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;14;290;12052.0;Verjüngungsforschung;Partei für Verjüngungsforschung
2021;14;295;6674.0;Volt;Volt Deutschland
2021;14;300;6056.0;ÖDP;Ökologisch-Demokratische Partei
2021;15;4;235492.0;AfD;Alternative für Deutschland
2021;15;21;252286.0;CDU;Christlich Demokratische Union Deutschlands
2021;15;29;115330.0;Die Linke;Die Linke
2021;15;30;9763.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;15;31;19213.0;dieBasis;Basisdemokratische Partei Deutschland
2021;15;34;1302.0;du.;Die Urbane. Eine HipHop Partei
2021;15;235;114024.0;FDP;Freie Demokratische Partei
2021;15;236;22509.0;FREIE WÄHLER;FREIE WÄHLER
2021;15;242;7611.0;Gartenpartei;Gartenpartei
2021;15;245;78701.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;15;261;1042.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;15;262;3002.0;NPD;Nationaldemokratische Partei Deutschlands
2021;15;267;1415.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;15;268;4067.0;PIRATEN;Piratenpartei Deutschland
2021;15;273;305085.0;SPD;Sozialdemokratische Partei Deutschlands
2021;15;280;13672.0;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
2021;15;281;14483.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;15;295;2097.0;Volt;Volt Deutschland
2021;15;300;846.0;ÖDP;Ökologisch-Demokratische Partei
2021;16;4;303233.0;AfD;Alternative für Deutschland
2021;16;21;213414.0;CDU;Christlich Demokratische Union Deutschlands
2021;16;27;2501.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;16;29;144693.0;Die Linke;Die Linke
2021;16;30;16013.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;16;31;20189.0;dieBasis;Basisdemokratische Partei Deutschland
2021;16;235;114283.0;FDP;Freie Demokratische Partei
2021;16;236;27151.0;FREIE WÄHLER;FREIE WÄHLER
2021;16;245;83220.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;16;259;3400.0;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller
2021;16;261;2570.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;16;262;4103.0;NPD;Nationaldemokratische Partei Deutschlands
2021;16;267;1357.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;16;268;6291.0;PIRATEN;Piratenpartei Deutschland
2021;16;273;296446.0;SPD;Sozialdemokratische Partei Deutschlands
2021;16;281;18973.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;16;287;1052.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;16;295;3566.0;Volt;Volt Deutschland
2021;16;300;2456.0;ÖDP;Ökologisch-Demokratische Partei
2025;1;4;535279.0;AfD;Alternative für Deutschland
2025;1;12;176187.0;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit
2025;1;16;4331.0;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND
2025;1;21;297987.0;CDU;Christlich Demokratische Union Deutschlands
2025;1;29;176223.0;Die Linke;Die Linke
2025;1;30;14705.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2025;1;235;53465.0;FDP;Freie Demokratische Partei
2025;1;236;23966.0;FREIE WÄHLER;FREIE WÄHLER
2025;1;245;108591.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2025;1;261;1118.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2025;1;273;243973.0;SPD;Sozialdemokratische Partei Deutschlands
2025;1;295;11369.0;Volt;Volt Deutschland
2025;2;4;296999.0;AfD;Alternative für Deutschland
2025;2;12;129501.0;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit
2025;2;16;3054.0;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND
2025;2;20;719.0;BüSo;Bürgerrechtsbewegung Solidarität
2025;2;21;356091.0;CDU;Christlich Demokratische Union Deutschlands
2025;2;27;4531.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2025;2;29;387142.0;Die Linke;Die Linke
2025;2;30;12871.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2025;2;235;74110.0;FDP;Freie Demokratische Partei
2025;2;236;6410.0;FREIE WÄHLER;FREIE WÄHLER
2025;2;245;328022.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2025;2;260;2443.0;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit
2025;2;261;925.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
